,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
183,1786815,0,0,0,0,0,0,0,0,0,0,7,5,44
1183,6208285,0,5,14,10,0,0,15,0,1,0,2,1,14
1688,8624359,0,1,0,12,3,0,0,0,23,0,0,11,25
951,5174161,7,0,0,0,0,3,2,0,0,0,1,2,1
1549,7934029,1,0,0,0,0,0,0,2,1,10,0,6,5
1601,8214053,12,29,132,13,11,8,6,0,14,8,2,12,2
157,1685029,0,0,0,8,0,0,0,0,0,0,0,0,0
1966,9852232,0,0,0,0,1,0,0,0,3,0,0,1,21
1699,8652871,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,6745258,20,70,0,3,0,0,0,0,0,3,1,20,2
1011,5430751,6,0,0,0,0,0,0,0,0,0,0,0,0
1773,8999141,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,7734282,0,0,5,0,0,0,0,0,0,0,0,0,0
1882,9537247,1,1,1,2,2,1,13,11,1,0,3,2,5
1794,9082916,0,0,0,0,0,0,0,0,0,0,0,0,0
165,1714437,0,13,105,15,8,13,17,13,0,23,0,0,5
3,1014379,0,0,0,0,0,0,0,0,0,0,0,0,0
349,2518495,0,7,25,2,0,17,9,0,6,0,1,0,9
1665,8497770,16,33,34,20,10,13,9,0,7,12,22,10,39
1186,6224791,0,0,0,0,0,0,0,0,0,0,0,0,0
565,3463910,0,0,0,0,0,1,0,0,0,0,0,0,17
402,2694213,3,24,2,7,34,21,3,3,16,12,16,2,34
441,2849368,17,4,0,27,16,14,9,24,13,18,0,8,31
1774,8999993,0,0,0,0,1,0,0,0,0,2,0,0,0
1317,6900166,49,52,23,45,18,13,29,46,40,42,8,6,51
1689,8624904,0,0,3,0,0,17,4,7,7,2,0,5,11
1768,8990969,7,36,10,0,3,9,9,111,2,0,1,0,10
1464,7540359,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1580977,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,6930405,6,0,0,0,1,0,0,0,4,0,0,1,0
1417,7364608,0,0,0,0,0,0,0,0,0,0,0,0,0
822,4598377,0,0,0,0,0,0,0,0,0,0,0,0,0
341,2467437,0,8,0,0,0,0,1,0,0,0,7,0,0
1035,5511869,26,1,2,2,0,5,2,1,19,19,0,0,2
871,4804651,87,41,78,78,70,89,53,148,7,40,33,67,139
817,4569642,8,8,4,0,0,2,3,6,24,12,6,9,16
1749,8904183,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,6953872,0,0,0,0,0,0,0,0,0,0,0,0,0
673,3985732,0,0,0,0,0,0,0,14,4,9,1,1,0
385,2643326,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,7815765,0,0,4,0,0,0,0,0,0,0,1,3,3
503,3203775,0,0,0,0,0,0,0,0,0,4,0,0,0
883,4879419,0,0,4,1,1,0,0,4,0,0,0,0,0
813,4562062,0,0,0,0,0,0,0,0,0,4,7,0,0
1842,9341302,73,111,116,120,60,9,33,43,34,38,32,8,130
709,4131462,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,7416360,6,25,0,0,5,8,2,8,2,0,14,5,13
1239,6469371,1,0,0,0,0,0,0,0,0,0,0,0,0
744,4289468,2,0,1,0,0,0,0,0,0,0,0,0,0
542,3359398,2,0,13,8,0,1,1,14,1,17,2,15,11
